2024-06-29T20:13:25.202-local:[INFO]: Started subtask
2024-06-29T20:13:30.316-local:[INFO]: tcin: 88327499
2024-06-29T20:13:30.377-local:[INFO]: tcin: 52024017
2024-06-29T20:13:30.409-local:[INFO]: tcin: 16710629
2024-06-29T20:13:30.477-local:[INFO]: tcin: 16289709
2024-06-29T20:13:30.581-local:[INFO]: tcin: 13459026
2024-06-29T20:13:30.608-local:[INFO]: tcin: 14760219
2024-06-29T20:13:30.610-local:[INFO]: tcin: 78648064
2024-06-29T20:13:30.766-local:[INFO]: tcin: 13459030
2024-06-29T20:13:30.794-local:[INFO]: tcin: 13369396
2024-06-29T20:13:30.813-local:[INFO]: tcin: 79702186
2024-06-29T20:13:30.876-local:[INFO]: tcin: 54284897
2024-06-29T20:13:30.909-local:[INFO]: tcin: 77460609
2024-06-29T20:13:30.937-local:[INFO]: tcin: 80221007
2024-06-29T20:13:31.000-local:[INFO]: tcin: 14786853
2024-06-29T20:13:31.075-local:[INFO]: tcin: 84310695
2024-06-29T20:13:31.083-local:[INFO]: tcin: 13369397
2024-06-29T20:13:31.110-local:[INFO]: tcin: 13291616
2024-06-29T20:13:31.267-local:[INFO]: tcin: 13016425
2024-06-29T20:13:31.281-local:[INFO]: tcin: 78654617
2024-06-29T20:13:31.358-local:[INFO]: tcin: 15314673
2024-06-29T20:13:31.374-local:[INFO]: tcin: 78654615
2024-06-29T20:13:31.420-local:[INFO]: tcin: 15579818
2024-06-29T20:13:31.448-local:[INFO]: tcin: 14786822
2024-06-29T20:13:31.468-local:[INFO]: tcin: 81035600
2024-06-29T20:13:31.483-local:[INFO]: tcin: 78307817
2024-06-29T20:13:31.529-local:[INFO]: tcin: 89086392
2024-06-29T20:13:31.540-local:[INFO]: tcin: 84244076
2024-06-29T20:13:31.542-local:[INFO]: tcin: 87736845
2024-06-29T20:13:31.568-local:[INFO]: tcin: 85356043
2024-06-29T20:13:31.672-local:[INFO]: tcin: 15329510
2024-06-29T20:13:31.687-local:[INFO]: tcin: 15329512
2024-06-29T20:13:31.741-local:[INFO]: tcin: 80184125
2024-06-29T20:13:31.827-local:[INFO]: tcin: 87497901
2024-06-29T20:13:31.843-local:[INFO]: tcin: 13192269
2024-06-29T20:13:31.903-local:[INFO]: tcin: 13458920
2024-06-29T20:13:31.911-local:[INFO]: tcin: 16716817
2024-06-29T20:13:31.916-local:[INFO]: tcin: 13329508
2024-06-29T20:13:31.994-local:[INFO]: tcin: 87497281
2024-06-29T20:13:32.044-local:[INFO]: tcin: 17141908
2024-06-29T20:13:32.075-local:[INFO]: tcin: 81608084
2024-06-29T20:13:32.090-local:[INFO]: tcin: 81624933
2024-06-29T20:13:32.139-local:[INFO]: tcin: 85356038
2024-06-29T20:13:32.169-local:[INFO]: tcin: 54291713
2024-06-29T20:13:32.406-local:[INFO]: tcin: 26397715
2024-06-29T20:13:32.437-local:[INFO]: tcin: 88258234
2024-06-29T20:13:32.448-local:[INFO]: tcin: 13469335
2024-06-29T20:13:32.467-local:[INFO]: tcin: 53279424
2024-06-29T20:13:32.513-local:[INFO]: tcin: 87497828
2024-06-29T20:13:32.517-local:[INFO]: tcin: 78648060
2024-06-29T20:13:32.576-local:[INFO]: tcin: 26398558
2024-06-29T20:13:32.595-local:[INFO]: tcin: 13192149
2024-06-29T20:13:32.629-local:[INFO]: tcin: 53443934
2024-06-29T20:13:32.654-local:[INFO]: tcin: 52277881
2024-06-29T20:13:32.686-local:[INFO]: tcin: 53165430
2024-06-29T20:13:32.688-local:[INFO]: tcin: 87497236
2024-06-29T20:13:32.718-local:[INFO]: tcin: 50496494
2024-06-29T20:13:32.813-local:[INFO]: tcin: 26397718
2024-06-29T20:13:32.905-local:[INFO]: tcin: 89259056
2024-06-29T20:13:32.936-local:[INFO]: tcin: 87497364
2024-06-29T20:13:32.952-local:[INFO]: tcin: 78654575
2024-06-29T20:13:33.046-local:[INFO]: tcin: 50386288
2024-06-29T20:13:33.060-local:[INFO]: tcin: 13369209
2024-06-29T20:13:33.148-local:[INFO]: tcin: 53279430
2024-06-29T20:13:33.155-local:[INFO]: tcin: 81608108
2024-06-29T20:13:33.202-local:[INFO]: tcin: 16401999
2024-06-29T20:13:33.204-local:[INFO]: tcin: 53291292
2024-06-29T20:13:33.250-local:[INFO]: tcin: 87497189
2024-06-29T20:13:33.314-local:[INFO]: tcin: 81624952
2024-06-29T20:13:33.424-local:[INFO]: tcin: 78649002
2024-06-29T20:13:33.515-local:[INFO]: tcin: 81187289
2024-06-29T20:13:33.608-local:[INFO]: tcin: 78862715
2024-06-29T20:13:33.628-local:[INFO]: tcin: 15295132
2024-06-29T20:13:33.656-local:[INFO]: tcin: 15389504
2024-06-29T20:13:33.659-local:[INFO]: tcin: 14786851
2024-06-29T20:13:33.810-local:[INFO]: tcin: 88063606
2024-06-29T20:13:33.912-local:[INFO]: tcin: 86800705
2024-06-29T20:13:33.937-local:[INFO]: tcin: 13257682
2024-06-29T20:13:33.952-local:[INFO]: tcin: 89037015
2024-06-29T20:13:33.954-local:[INFO]: tcin: 85320711
2024-06-29T20:13:34.031-local:[INFO]: tcin: 78647836
2024-06-29T20:13:34.154-local:[INFO]: tcin: 78643476
2024-06-29T20:13:34.166-local:[INFO]: tcin: 16716825
2024-06-29T20:13:34.248-local:[INFO]: tcin: 13369422
2024-06-29T20:13:34.262-local:[INFO]: tcin: 84310738
2024-06-29T20:13:34.295-local:[INFO]: tcin: 13291615
2024-06-29T20:13:34.311-local:[INFO]: tcin: 14972022
2024-06-29T20:13:34.389-local:[INFO]: tcin: 87497195
2024-06-29T20:13:34.402-local:[INFO]: tcin: 13408505
2024-06-29T20:13:34.450-local:[INFO]: tcin: 54291698
2024-06-29T20:13:34.528-local:[INFO]: tcin: 84984141
2024-06-29T20:13:34.602-local:[INFO]: tcin: 50367410
2024-06-29T20:13:34.675-local:[INFO]: tcin: 83376968
2024-06-29T20:13:34.744-local:[INFO]: tcin: 53280373
2024-06-29T20:13:34.760-local:[INFO]: tcin: 53000769
2024-06-29T20:13:34.792-local:[INFO]: tcin: 89093498
2024-06-29T20:13:34.796-local:[INFO]: tcin: 84728583
2024-06-29T20:13:34.870-local:[INFO]: tcin: 13369211
2024-06-29T20:13:34.963-local:[INFO]: tcin: 17225662
2024-06-29T20:13:35.001-local:[INFO]: tcin: 89093502
2024-06-29T20:13:35.004-local:[INFO]: tcin: 50303654
2024-06-29T20:13:35.006-local:[INFO]: tcin: 85320712
2024-06-29T20:13:35.066-local:[INFO]: tcin: 86888716
2024-06-29T20:13:35.099-local:[INFO]: tcin: 87582578
2024-06-29T20:13:35.123-local:[INFO]: tcin: 14063637
2024-06-29T20:13:35.154-local:[INFO]: tcin: 87497193
2024-06-29T20:13:35.201-local:[INFO]: tcin: 12935786
2024-06-29T20:13:35.405-local:[INFO]: tcin: 87497235
2024-06-29T20:13:35.406-local:[INFO]: tcin: 84311859
2024-06-29T20:13:35.443-local:[INFO]: tcin: 87543351
2024-06-29T20:13:35.450-local:[INFO]: tcin: 14788527
2024-06-29T20:13:35.484-local:[INFO]: tcin: 81134351
2024-06-29T20:13:35.485-local:[INFO]: tcin: 14789127
2024-06-29T20:13:35.589-local:[INFO]: tcin: 14760252
2024-06-29T20:13:35.590-local:[INFO]: tcin: 87496773
