2024-06-30T12:30:36.950-local:[INFO]: Started subtask
2024-06-30T12:30:42.440-local:[INFO]: tcin: 88327499
2024-06-30T12:30:42.479-local:[INFO]: tcin: 52024017
2024-06-30T12:30:42.480-local:[INFO]: tcin: 16710629
2024-06-30T12:30:42.567-local:[INFO]: tcin: 16289709
2024-06-30T12:30:42.635-local:[INFO]: tcin: 13459026
2024-06-30T12:30:42.674-local:[INFO]: tcin: 14760219
2024-06-30T12:30:42.688-local:[INFO]: tcin: 78648064
2024-06-30T12:30:42.781-local:[INFO]: tcin: 13459030
2024-06-30T12:30:42.812-local:[INFO]: tcin: 13369396
2024-06-30T12:30:42.833-local:[INFO]: tcin: 79702186
2024-06-30T12:30:42.953-local:[INFO]: tcin: 54284897
2024-06-30T12:30:43.097-local:[INFO]: tcin: 77460609
2024-06-30T12:30:43.162-local:[INFO]: tcin: 80221007
2024-06-30T12:30:43.179-local:[INFO]: tcin: 14786853
2024-06-30T12:30:43.193-local:[INFO]: tcin: 84310695
2024-06-30T12:30:43.203-local:[INFO]: tcin: 13369397
2024-06-30T12:30:43.220-local:[INFO]: tcin: 13291616
2024-06-30T12:30:43.236-local:[INFO]: tcin: 13016425
2024-06-30T12:30:43.298-local:[INFO]: tcin: 78654617
2024-06-30T12:30:43.312-local:[INFO]: tcin: 15314673
2024-06-30T12:30:43.500-local:[INFO]: tcin: 78654615
2024-06-30T12:30:43.501-local:[INFO]: tcin: 15579818
2024-06-30T12:30:43.693-local:[INFO]: tcin: 14786822
2024-06-30T12:30:43.702-local:[INFO]: tcin: 81035600
2024-06-30T12:30:43.842-local:[INFO]: tcin: 78307817
2024-06-30T12:30:43.845-local:[INFO]: tcin: 89086392
2024-06-30T12:30:44.035-local:[INFO]: tcin: 84244076
2024-06-30T12:30:44.041-local:[INFO]: tcin: 87736845
2024-06-30T12:30:44.103-local:[INFO]: tcin: 85356043
2024-06-30T12:30:44.105-local:[INFO]: tcin: 15329510
2024-06-30T12:30:44.185-local:[INFO]: tcin: 15329512
2024-06-30T12:30:44.207-local:[INFO]: tcin: 80184125
2024-06-30T12:30:44.249-local:[INFO]: tcin: 87497901
2024-06-30T12:30:44.254-local:[INFO]: tcin: 13192269
2024-06-30T12:30:44.400-local:[INFO]: tcin: 13458920
2024-06-30T12:30:44.417-local:[INFO]: tcin: 16716817
2024-06-30T12:30:44.477-local:[INFO]: tcin: 13329508
2024-06-30T12:30:44.531-local:[INFO]: tcin: 87497281
2024-06-30T12:30:44.577-local:[INFO]: tcin: 17141908
2024-06-30T12:30:44.674-local:[INFO]: tcin: 81608084
2024-06-30T12:30:44.677-local:[INFO]: tcin: 81624933
2024-06-30T12:30:44.723-local:[INFO]: tcin: 85356038
2024-06-30T12:30:44.768-local:[INFO]: tcin: 54291713
2024-06-30T12:30:44.859-local:[INFO]: tcin: 26397715
2024-06-30T12:30:44.898-local:[INFO]: tcin: 88258234
2024-06-30T12:30:44.942-local:[INFO]: tcin: 13469335
2024-06-30T12:30:44.974-local:[INFO]: tcin: 53279424
2024-06-30T12:30:45.024-local:[INFO]: tcin: 87497828
2024-06-30T12:30:45.026-local:[INFO]: tcin: 78648060
2024-06-30T12:30:45.104-local:[INFO]: tcin: 26398558
2024-06-30T12:30:45.135-local:[INFO]: tcin: 13192149
2024-06-30T12:30:45.174-local:[INFO]: tcin: 53443934
2024-06-30T12:30:45.262-local:[INFO]: tcin: 52277881
2024-06-30T12:30:45.447-local:[INFO]: tcin: 53165430
2024-06-30T12:30:45.540-local:[INFO]: tcin: 87497236
2024-06-30T12:30:45.649-local:[INFO]: tcin: 50496494
2024-06-30T12:30:45.651-local:[INFO]: tcin: 26397718
2024-06-30T12:30:45.749-local:[INFO]: tcin: 89259056
2024-06-30T12:30:45.753-local:[INFO]: tcin: 87497364
2024-06-30T12:30:45.766-local:[INFO]: tcin: 78654575
2024-06-30T12:30:45.835-local:[INFO]: tcin: 50386288
2024-06-30T12:30:45.865-local:[INFO]: tcin: 13369209
2024-06-30T12:30:45.913-local:[INFO]: tcin: 53279430
2024-06-30T12:30:46.071-local:[INFO]: tcin: 81608108
2024-06-30T12:30:46.088-local:[INFO]: tcin: 16401999
2024-06-30T12:30:46.103-local:[INFO]: tcin: 53291292
2024-06-30T12:30:46.189-local:[INFO]: tcin: 87497189
2024-06-30T12:30:46.263-local:[INFO]: tcin: 81624952
2024-06-30T12:30:46.289-local:[INFO]: tcin: 78649002
2024-06-30T12:30:46.373-local:[INFO]: tcin: 81187289
2024-06-30T12:30:46.414-local:[INFO]: tcin: 78862715
2024-06-30T12:30:46.481-local:[INFO]: tcin: 15295132
2024-06-30T12:30:46.497-local:[INFO]: tcin: 15389504
2024-06-30T12:30:46.528-local:[INFO]: tcin: 14786851
2024-06-30T12:30:46.639-local:[INFO]: tcin: 88063606
2024-06-30T12:30:46.733-local:[INFO]: tcin: 86800705
2024-06-30T12:30:46.735-local:[INFO]: tcin: 13257682
2024-06-30T12:30:46.738-local:[INFO]: tcin: 89037015
2024-06-30T12:30:46.742-local:[INFO]: tcin: 85320711
2024-06-30T12:30:46.807-local:[INFO]: tcin: 78647836
2024-06-30T12:30:46.949-local:[INFO]: tcin: 78643476
2024-06-30T12:30:46.965-local:[INFO]: tcin: 16716825
2024-06-30T12:30:46.997-local:[INFO]: tcin: 13369422
2024-06-30T12:30:47.140-local:[INFO]: tcin: 84310738
2024-06-30T12:30:47.188-local:[INFO]: tcin: 13291615
2024-06-30T12:30:47.223-local:[INFO]: tcin: 14972022
2024-06-30T12:30:47.256-local:[INFO]: tcin: 87497195
2024-06-30T12:30:47.344-local:[INFO]: tcin: 13408505
2024-06-30T12:30:47.403-local:[INFO]: tcin: 54291698
2024-06-30T12:30:47.410-local:[INFO]: tcin: 84984141
2024-06-30T12:30:47.480-local:[INFO]: tcin: 50367410
2024-06-30T12:30:47.495-local:[INFO]: tcin: 83376968
2024-06-30T12:30:47.619-local:[INFO]: tcin: 53280373
2024-06-30T12:30:47.638-local:[INFO]: tcin: 53000769
2024-06-30T12:30:47.946-local:[INFO]: tcin: 89093498
2024-06-30T12:30:47.960-local:[INFO]: tcin: 84728583
2024-06-30T12:30:48.039-local:[INFO]: tcin: 13369211
2024-06-30T12:30:48.041-local:[INFO]: tcin: 17225662
2024-06-30T12:30:48.063-local:[INFO]: tcin: 89093502
2024-06-30T12:30:48.067-local:[INFO]: tcin: 50303654
2024-06-30T12:30:48.073-local:[INFO]: tcin: 85320712
2024-06-30T12:30:48.086-local:[INFO]: tcin: 86888716
2024-06-30T12:30:48.146-local:[INFO]: tcin: 87582578
2024-06-30T12:30:48.224-local:[INFO]: tcin: 14063637
2024-06-30T12:30:48.286-local:[INFO]: tcin: 87497193
2024-06-30T12:30:48.301-local:[INFO]: tcin: 12935786
2024-06-30T12:30:48.458-local:[INFO]: tcin: 87497235
2024-06-30T12:30:48.505-local:[INFO]: tcin: 84311859
2024-06-30T12:30:48.533-local:[INFO]: tcin: 87543351
2024-06-30T12:30:48.781-local:[INFO]: tcin: 14788527
2024-06-30T12:30:48.832-local:[INFO]: tcin: 81134351
2024-06-30T12:30:48.847-local:[INFO]: tcin: 14789127
2024-06-30T12:30:48.890-local:[INFO]: tcin: 14760252
2024-06-30T12:30:48.921-local:[INFO]: tcin: 87496773
2024-06-30T12:30:48.934-local:[INFO]: tcin: 84728586
2024-06-30T12:30:48.973-local:[INFO]: tcin: 87497194
2024-06-30T12:30:49.082-local:[INFO]: tcin: 12935446
2024-06-30T12:30:49.113-local:[INFO]: tcin: 78862714
2024-06-30T12:30:49.207-local:[INFO]: tcin: 88063607
2024-06-30T12:30:49.249-local:[INFO]: tcin: 13192272
2024-06-30T12:30:49.302-local:[INFO]: tcin: 78643413
2024-06-30T12:30:49.316-local:[INFO]: tcin: 53280339
2024-06-30T12:30:49.475-local:[INFO]: tcin: 87604330
2024-06-30T12:30:49.506-local:[INFO]: tcin: 52024029
2024-06-30T12:30:49.508-local:[INFO]: tcin: 87545466
2024-06-30T12:30:49.612-local:[INFO]: tcin: 14793378
2024-06-30T12:30:49.647-local:[INFO]: tcin: 81035602
2024-06-30T12:30:49.665-local:[INFO]: tcin: 13183983
2024-06-30T12:30:49.739-local:[INFO]: tcin: 78717592
2024-06-30T12:30:49.819-local:[INFO]: tcin: 86800704
2024-06-30T12:30:49.882-local:[INFO]: tcin: 86800702
2024-06-30T12:30:49.885-local:[INFO]: tcin: 53280375
2024-06-30T12:30:49.994-local:[INFO]: tcin: 86800616
2024-06-30T12:30:49.996-local:[INFO]: tcin: 52277949
2024-06-30T12:30:50.034-local:[INFO]: tcin: 14788528
